City,Zone,Ward Name,Ward No.,,,No. of Identfied Slums,Slum Population - Total,,,,,,Literacy,Number of Households,Total Population,Male Population,Female Population,Children Population,Male Literacy,Female Literacy
Bhuabneswar,South-East,NA,53,,,9,8838,,,,,,78.30%,3006,13687,7222,6465 ,1270,87.12%,83.08%
Bhuabneswar,South-East,NA,54,,,5,1610,,,,,,90.06%,3840,15955,8386,7569 ,1543,86.54%,84.29%
Bhuabneswar,South-East,NA,55,,,3,1404,,,,,,85.21%,2819,12249,6323,5926,1135,88.49%,85.47%
Bhuabneswar,South-East,NA,56,,,10,6151,,,,,,85.47%,2223,10679,5517 ,5162,1033,85.50%,77.74%
Bhuabneswar,South-East,NA,57,,,3,2651,,,,,,87.03%,2283,10724,5615,5109 ,1147,83.83%,78.10%
Bhuabneswar,South-East,NA,58,,,9,3584,,,,,,81.75%,3446,14736,7636,7100,1405,87.53%,85.01%
Bhuabneswar,South-East,NA,59,,,8,1884,,,,,,81.10%,3405,16515,8522,7993 ,2151,76.50%,65.77%
Bhuabneswar,South-East,NA,61,,,6,1985,,,,,,86.32%,3381,14509,7682,6827,1444,86.89%,83.58%
Bhuabneswar,South-West,NA,62,,,6,7027,,,,,,71.30%,162,257,404 ,416 ,72,80.20%,71.63%
Bhuabneswar,South-West,NA,63,,,6,3139,,,,,,85.33%,174,820,374,367 ,71,90.11%,86.38%
Bhuabneswar,South-West,NA,64,,,11,8436,,,,,,87.94%,819,741,2000 ,1850,391,84.65%,75.84%
Bhuabneswar,South-West,NA,66,,,7,7935,,,,,,75.85%,646,3850,1564,1382,270,87.40%,85.24%
Bhuabneswar,South-East,NA,67,,,8,2529,,,,,,88.26%,71,2946,313,167,146 ,87.43%,72.60%
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
